FlushFlashMemory command sent, waiting for new packets
01:34:669	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 11 50 211 104
01:34:669	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 15 50 209 86
01:34:679	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 16 50 209 76
01:34:793	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 17 50 210 95
01:34:794	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 18 50 210 87
01:34:794	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 19 50 209 91
01:34:794	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 20 50 211 97
01:34:794	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 21 50 209 95
01:34:794	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 22 50 210 92
01:34:794	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 23 50 210 100
01:34:795	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 24 50 210 92
01:34:905	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 29 50 211 101
01:34:906	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 31 50 209 89
01:34:906	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 33 50 209 87
01:34:906	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 37 50 209 73
01:34:906	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 38 50 210 95
01:34:906	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 40 50 210 88
01:34:906	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 41 50 208 77
01:34:907	Tue Apr 10 01:01:34 PDT 2012 17 3 41 0 2 49 50 209 77
01:34:961	Tue Apr 10 01:01:34 PDT 2012 18 3 41 0 2 0 50 209 84
01:34:961	Tue Apr 10 01:01:34 PDT 2012 18 3 41 0 2 1 50 207 58
01:34:961	Tue Apr 10 01:01:34 PDT 2012 18 3 41 0 2 2 50 208 73
01:34:961	Tue Apr 10 01:01:34 PDT 2012 18 3 41 0 2 3 50 208 77
01:34:962	Tue Apr 10 01:01:34 PDT 2012 18 3 41 0 2 4 50 209 88
01:34:974	Tue Apr 10 01:01:34 PDT 2012 18 3 41 0 2 5 50 212 103
01:35:85	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 6 50 210 100
01:35:86	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 7 50 208 80
01:35:86	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 8 50 208 86
01:35:86	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 9 50 210 86
01:35:86	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 10 50 211 96
01:35:86	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 11 50 212 101
01:35:86	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 12 50 209 81
01:35:87	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 13 50 212 98
01:35:201	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 14 50 210 92
01:35:202	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 15 50 210 94
01:35:202	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 16 50 209 96
01:35:202	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 17 50 209 85
01:35:202	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 25 50 209 88
01:35:202	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 46 50 209 83
01:35:202	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 47 50 209 88
01:35:203	Tue Apr 10 01:01:35 PDT 2012 18 3 41 0 2 49 50 208 76
01:35:269	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 2 50 208 74
01:35:269	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 4 50 209 74
01:35:269	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 13 50 209 84
01:35:270	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 14 50 209 88
01:35:270	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 19 50 208 73
01:35:270	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 21 50 209 80
01:35:280	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 22 50 208 83
01:35:397	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 26 50 209 77
01:35:398	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 27 50 209 78
01:35:398	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 28 50 208 78
01:35:398	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 29 50 209 70
01:35:398	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 30 50 208 69
01:35:398	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 32 50 209 88
01:35:399	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 34 50 209 77
01:35:400	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 35 50 210 88
01:35:505	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 38 50 209 79
01:35:507	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 41 50 210 90
01:35:507	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 44 50 208 76
01:35:508	Tue Apr 10 01:01:35 PDT 2012 19 3 41 0 2 45 50 209 86
01:35:508	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 0 50 220 107
01:35:508	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 1 50 213 101
01:35:508	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 2 50 216 106
01:35:508	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 3 50 218 107
01:35:561	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 4 50 217 107
